COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","16293","MORELOS 2 R/B(PAM-D)","ROCKET BODY","U","85109F","2016-01-08 00:12:32","378112","2.34155287","0.7177127","25.5616","188.1274","137.4822","308.8492","0","999","19101","0.00059147","2.29e-06","0","1977536","0 MORELOS 2 R/B(PAM-D)","1 16293U 85109F   16008.00870808  .00000229  00000-0  59147-3 0  9992","2 16293  25.5616 188.1274 7177127 137.4822 308.8492  2.34155287191011","1985-109F","16293","23955.166","614.976","34769.958","384.104"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","40358","COSMOS 2502","PAYLOAD","U","14086A","2016-01-08 00:13:42","540960","13.96676175","0.0005815","67.1514","283.7176","261.0013","99.041","0","999","5293","-2.1566e-07","-7.6e-07","0","1977482","0 COSMOS 2502","1 40358U 14086A   16008.00952015 -.00000076  00000-0 -21566-6 0  9997","2 40358  67.1514 283.7176 0005815 261.0013  99.0410 13.96676175 52935","2014-086A","40358","7283.464","103.101","909.565","901.094"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","6264","COSMOS 529","PAYLOAD","U","72087B","2016-01-08 00:13:46","135200","12.57156472","0.0042198","74.0357","91.2227","189.5777","226.0981","0","999","98200","1.5685e-05","-1.4e-07","0","1977535","0 COSMOS 529","1 06264U 72087B   16008.00956175 -.00000014  00000-0  15685-4 0  9995","2 06264  74.0357  91.2227 0042198 189.5777 226.0981 12.57156472982004","1972-087B","6264","7812.840","114.544","1467.673","1401.736"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","13075","SL-6 R/B(2)","ROCKET BODY","U","82015D","2016-01-08 00:15:03","259296","1.97177728","0.7207747","63.0082","267.9127","262.6877","18.096","0","999","24377","0.00032308","-6.56e-06","0","1977479","0 SL-6 R/B(2)","1 13075U 82015D   16008.01045439 -.00000656  00000-0  32308-3 0  9990","2 13075  63.0082 267.9127 7207747 262.6877  18.0960  1.97177728243779","1982-015D","13075","26863.541","730.305","39847.967","1122.845"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27868","COSMOS 2400","PAYLOAD","U","03037A","2016-01-08 00:15:07","639776","12.45126667","0.0022629","82.4671","200.6243","119.4704","240.864","0","999","56307","-3.9757e-05","4e-08","0","1977474","0 COSMOS 2400","1 27868U 03037A   16008.01050509  .00000004  00000-0 -39757-4 0  9999","2 27868  82.4671 200.6243 0022629 119.4704 240.8640 12.45126667563070","2003-037A","27868","7863.082","115.650","1502.740","1467.153"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","40027","FLOCK 1C 1","PAYLOAD","U","14033T","2016-01-08 00:15:32","421888","14.87817408","0.0011543","97.9463","273.9988","233.3783","126.637","0","999","8425","7.193e-05","6.01e-06","0","1977586","0 FLOCK 1C 1","1 40027U 14033T   16008.01079192  .00000601  00000-0  71930-4 0  9999","2 40027  97.9463 273.9988 0011543 233.3783 126.6370 14.87817408 84254","2014-033T","40027","6982.893","96.786","612.818","596.698"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","20440","OSCAR 17 (DOVE)","PAYLOAD","U","90005E","2016-01-08 00:15:36","24768","14.32986992","0.0009726","98.5419","306.2428","262.1776","238.8385","0","999","35628","3.9193e-05","6.4e-07","0","1977545","0 OSCAR 17 (DOVE)","1 20440U 90005E   16008.01083362  .00000064  00000-0  39193-4 0  9991","2 20440  98.5419 306.2428 0009726 262.1776 238.8385 14.32986992356282","1990-005E","20440","7159.900","100.489","788.729","774.802"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","28420","COSMOS 2409","PAYLOAD","U","04037B","2016-01-08 00:15:39","672576","12.45265615","0.001333","82.4817","196.005","356.2283","3.87","0","999","51321","-5.7944e-05","2e-08","0","1977532","0 COSMOS 2409","1 28420U 04037B   16008.01087584  .00000002  00000-0 -57944-4 0  9994","2 28420  82.4817 196.0050 0013330 356.2283   3.8700 12.45265615513215","2004-037B","28420","7862.497","115.637","1494.843","1473.881"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","17147","SL-6 R/B(2)","ROCKET BODY","U","86091D","2016-01-08 00:15:40","214304","2.04000562","0.5760985","69.4267","280.2036","93.5547","191.0957","0","999","21703","0","-6.38e-06","0","1977517","0 SL-6 R/B(2)","1 17147U 86091D   16008.01088211 -.00000638  00000-0  00000+0 0  9997","2 17147  69.4267 280.2036 5760985  93.5547 191.0957  2.04000562217034","1986-091D","17147","26261.181","705.880","35012.074","4754.019"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","32955","COSMOS 2438","PAYLOAD","U","08025C","2016-01-08 00:16:52","156128","12.43292591","0.0020834","82.4976","205.7023","350.9551","9.1147","0","999","34613","-3.4791e-05","5e-08","0","1977586","0 COSMOS 2438","1 32955U 08025C   16008.01171477  .00000005  00000-0 -34791-4 0  9996","2 32955  82.4976 205.7023 0020834 350.9551   9.1147 12.43292591346133","2008-025C","32955","7870.813","115.821","1509.076","1476.280"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27847","CANX-1","PAYLOAD","U","03031H","2016-01-08 00:17:20","122944","14.2194771","0.0010028","98.685","17.7903","48.1346","312.0685","0","999","64963","6.5614e-05","1.01e-06","0","1977494","0 CANX-1","1 27847U 03031H   16008.01203846  .00000101  00000-0  65614-4 0  9992","2 27847  98.6850  17.7903 0010028  48.1346 312.0685 14.21947710649639","2003-031H","27847","7196.910","101.269","825.992","811.558"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","28909","GONETS D1M 1","PAYLOAD","U","05048B","2016-01-08 00:17:25","90944","12.55149506","0.0007367","82.4671","227.0022","29.8192","330.3302","0","999","46028","0.00030681","6e-07","0","1977541","0 GONETS D1M 1","1 28909U 05048B   16008.01209596  .00000060  00000-0  30681-3 0  9999","2 28909  82.4671 227.0022 0007367  29.8192 330.3302 12.55149506460289","2005-048B","28909","7821.166","114.727","1448.793","1437.269"
